i,j
24,76
140,276
328,28
84,780
72,894
174,276
659,124
694,842
204,120
562,384
4,643
108,842
52,28
430,862
430,50
328,276
417,4
562,528
558,528
242,276
4,246
226,528
524,50
242,620
262,586
524,620
584,842
52,212
72,300
52,659
462,702
662,52
670,616
462,124
430,792
796,124
418,724
8,807
51,300
84,320
84,566
84,458
670,826
328,344
4,276
796,842
430,410
148,504
270,826
462,360
308,662
242,156
84,484
132,842
8,792
670,52
52,372
51,156
646,834
28,740
646,826
670,780
96,276
140,620
418,842
418,124
882,826
242,296
584,826
496,804
882,842
242,798
690,710
496,344
212,392
524,56
524,724
96,344
72,56
275,528
418,616
174,842
670,662
16,218
418,752
8,842
60,410
212,28
180,710
108,528
562,204
548,616
60,300
226,604
548,36
275,818
262,818
308,528
662,212
690,450
740,780
524,702
462,276
316,702
584,392
8,643
212,328
226,620
308,752
8,818
148,724
226,276
626,842
60,862
90,36
662,670
646,528
84,124
60,188
462,458
90,704
212,842
646,156
646,344
20,410
180,724
212,780
646,56
28,288
20,56
308,276
562,826
562,854
20,620
624,620
180,716
8,826
496,398
882,554
646,842
84,372
678,528
148,616
580,344
308,56
670,28
662,308
678,620
332,56
332,214
148,203
60,233
148,156
140,792
16,392
674,470
60,508
580,484
4,792
882,392
694,528
140,826
212,616
740,643
690,528
212,724
304,826
60,842
20,826
140,120
462,834
670,360
674,56
694,124
462,344
548,702
90,458
580,826
670,56
20,72
140,156
332,276
262,344
212,52
308,659
304,620
140,842
646,180
140,376
4,392
212,704
740,276
316,344
646,764
670,804
678,124
624,842
84,710
226,792
140,392
4,208
585,842
84,764
90,450
796,76
90,50
212,659
226,504
548,50
583,608
16,36
646,586
796,566
148,50
584,608
4,760
646,50
674,616
694,724
132,826
304,643
4,376
308,52
332,724
304,616
212,404
332,484
332,826
562,72
275,842
174,702
270,276
4,788
562,768
148,56
670,212
275,682
670,308
16,124
90,344
16,50
20,340
212,662
583,316
270,156
562,516
626,360
226,56
548,598
108,646
426,826
174,392
624,591
659,276
296,764
583,480
64,50
90,276
548,480
674,620
548,276
296,50
108,156
90,480
148,410
674,682
28,616
64,608
28,624
776,554
624,686
108,826
28,566
678,704
882,344
580,566
462,528
580,392
275,826
308,28
16,646
296,842
462,724
140,764
662,276
462,591
270,56
548,344
678,276
678,40
694,208
108,710
308,670
624,156
148,705
132,76
28,800
270,466
882,276
694,40
548,242
662,659
308,724
270,458
28,724
678,608
694,404
694,504
426,392
28,792
