i,j,k,q,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
156,842,271000.0,23131.814,2673033.064,13.059,178.625,23131.814,0.0,5.651,13219.648,174610.155,8961.924,1.139
156,842,847192.0,174610.155,2673033.064,13.059,178.625,23131.814,0.0,5.651,13219.648,174610.155,8961.924,1.139
156,842,847193.0,8961.924,2673033.064,13.059,178.625,23131.814,0.0,5.651,13219.648,174610.155,8961.924,1.139
156,842,847330.0,0.0,2673033.064,13.059,178.625,23131.814,0.0,5.651,13219.648,174610.155,8961.924,1.139
156,842,854211.0,178.625,2673033.064,13.059,178.625,23131.814,0.0,5.651,13219.648,174610.155,8961.924,1.139
156,842,870322.0,1.139,2673033.064,13.059,178.625,23131.814,0.0,5.651,13219.648,174610.155,8961.924,1.139
156,842,870323.0,13.059,2673033.064,13.059,178.625,23131.814,0.0,5.651,13219.648,174610.155,8961.924,1.139
156,842,870324.0,5.651,2673033.064,13.059,178.625,23131.814,0.0,5.651,13219.648,174610.155,8961.924,1.139
156,842,870899.0,13219.648,2673033.064,13.059,178.625,23131.814,0.0,5.651,13219.648,174610.155,8961.924,1.139
276,528,270900.0,455552.0,455552.0,89644.045,216.513,1440355.213,3022.299,2446.019,15093.471,5619.148,1248.54,19281.72
276,528,271000.0,1440355.213,455552.0,89644.045,216.513,1440355.213,3022.299,2446.019,15093.471,5619.148,1248.54,19281.72
276,528,847192.0,5619.148,455552.0,89644.045,216.513,1440355.213,3022.299,2446.019,15093.471,5619.148,1248.54,19281.72
276,528,847193.0,1248.54,455552.0,89644.045,216.513,1440355.213,3022.299,2446.019,15093.471,5619.148,1248.54,19281.72
276,528,847330.0,3022.299,455552.0,89644.045,216.513,1440355.213,3022.299,2446.019,15093.471,5619.148,1248.54,19281.72
276,528,854211.0,216.513,455552.0,89644.045,216.513,1440355.213,3022.299,2446.019,15093.471,5619.148,1248.54,19281.72
276,528,870322.0,19281.72,455552.0,89644.045,216.513,1440355.213,3022.299,2446.019,15093.471,5619.148,1248.54,19281.72
276,528,870323.0,89644.045,455552.0,89644.045,216.513,1440355.213,3022.299,2446.019,15093.471,5619.148,1248.54,19281.72
