i,j
242,124
417,56
524,792
148,360
496,484
174,682
662,52
212,28
308,392
332,170
8,40
90,826
562,384
499,203
690,218
4,276
496,344
84,246
28,212
694,826
646,764
332,156
84,170
694,686
140,620
670,24
646,748
140,792
242,798
670,616
90,36
524,566
796,616
108,710
430,705
694,620
60,376
28,24
275,56
304,826
304,764
524,724
28,659
562,410
584,826
694,156
275,528
583,392
524,56
20,703
426,748
96,566
670,52
694,724
304,528
212,328
270,826
316,702
694,203
296,36
462,528
796,124
132,504
16,826
4,784
108,800
4,56
132,276
646,710
882,16
96,276
108,752
646,800
674,528
108,586
548,608
562,854
562,56
659,124
694,246
562,764
212,156
562,156
108,392
580,344
4,376
316,344
670,28
28,558
28,340
212,704
4,340
499,528
584,792
60,710
90,724
4,398
583,316
20,24
20,56
60,834
28,480
674,56
275,784
275,410
674,705
316,566
212,780
132,566
670,308
148,203
90,218
108,8
108,528
462,364
308,662
662,212
332,724
275,12
4,566
499,40
674,76
262,512
659,792
148,372
624,120
776,554
60,124
60,566
270,56
499,724
462,116
548,242
174,702
148,504
662,670
148,616
140,796
462,276
308,212
60,246
426,566
148,480
275,826
140,392
548,484
678,24
275,682
426,826
20,834
332,276
132,826
462,690
212,784
262,344
624,566
670,659
270,528
662,308
626,276
670,212
662,484
148,586
462,360
776,392
308,52
662,28
674,100
212,659
462,410
136,214
270,300
580,484
548,36
584,528
548,276
674,208
16,124
212,392
548,56
212,682
332,36
548,702
20,528
308,528
60,404
678,214
90,702
308,276
548,554
580,585
580,826
678,56
20,458
659,300
308,659
674,620
262,156
270,50
16,554
270,686
270,478
662,328
296,392
583,344
296,608
270,296
90,344
132,392
174,276
626,36
212,662
296,702
132,24
262,703
174,784
60,300
308,780
659,203
64,524
296,344
262,616
624,288
136,191
678,620
426,156
584,76
580,392
626,124
275,792
548,222
659,276
796,372
585,608
316,608
624,410
426,682
16,50
262,48
20,566
20,50
426,392
659,826
270,724
296,484
662,862
262,414
308,670
136,398
662,659
275,414
16,392
659,484
16,414
580,583
132,752
275,818
659,28
426,480
308,40
624,50
624,344
136,780
296,242
316,410
136,826
270,710
626,686
308,616
882,704
583,484
678,528
662,388
16,703
659,662
583,580
678,40
136,372
776,36
624,620
882,392
136,643
270,620
174,528
426,484
296,752
64,340
659,32
626,764
174,300
659,616
64,616
64,392
776,882
624,724
426,528
796,528
798,36
16,764
678,724
796,140
64,862
296,372
624,270
16,882
796,703
64,276
316,203
796,231
882,156
626,446
580,764
776,242
776,410
583,156
316,826
626,360
882,410
882,124
64,170
796,320
776,826
583,608
174,826
585,410
174,710
678,410
583,410
882,242
626,620
882,152
296,764
316,124
583,372
316,554
678,203
624,528
296,458
776,344
678,484
626,458
174,50
882,764
624,156
174,724
624,792
678,616
580,792
626,724
678,764
798,528
580,410
776,276
776,16
626,554
583,724
583,703
585,528
798,710
626,688
583,214
580,702
580,528
580,724
776,124
296,90
583,682
296,784
585,583
798,156
798,780
585,616
798,484
798,458
798,807
798,56
798,242
798,566
585,36
585,484
585,214
585,566
585,116
585,586
